jobid,jobtitle,company,category,experience,chunk_id,chunk_text
300716000464,IT Software Engineer Jobs for Freshers in India,Local Job Search,Software Development,0 - 1 yrs,0,"Job Title: IT Software Engineer Jobs for Freshers in India Company: Local Job Search Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Gurgaon Job Description: Job Description Software engineer jobs for engineering graduates in various locations of India. Some major areas are Mumbai, Bangalore, Chennai, Pune and Gurgaon. Salary:INR 3,00,000 - 8,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills IT Software Engineering Freshers Software Engineer graduate fresher software developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Local Job Search Photo 1"
150716001591,Associate Software Engineer And Testing Jobs In Bangalore,Local Job Search,Software Development,0 - 2 yrs,1,"Job Title: Associate Software Engineer And Testing Jobs In Bangalore Company: Local Job Search Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication, Instrumentation PG:MS/M.Sc(Science) - Computers, MCA - Computers Doctorate:Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru, Hyderabad Job Description: Job Description Good understanding of different layers of protocols, networking. Good understanding and knowledge of programming skills like C/C++/ Java. Good understanding of Operating Systems (OS), computer fundamentals, Virtualisation. Salary:INR 3,00,000 - 6,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Keyskills C C++ Java Software Engineering Operating Systems OS Programming Networking Fundamentals Bangalore bengaluru karnataka Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication, Instrumentation PG:MS/M.Sc(Science) - Computers, MCA - Computers Doctorate:Doctorate Not"
150716001591,Associate Software Engineer And Testing Jobs In Bangalore,Local Job Search,Software Development,0 - 2 yrs,2,Required Company Profile: Local Job Search Photo 1
230716000389,IT Software Engineer Jobs for Freshers,Local Job Search,Software Development,0 - 1 yrs,3,"Job Title: IT Software Engineer Jobs for Freshers Company: Local Job Search Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Gurgaon Job Description: Job Description IT Jobs and Software Engineer jobs for freshers in India, various locations in India, any engineering fresh graduates can apply to this post. Salary:INR 2,00,000 - 7,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:Fresher Keyskills IT Software Engineering IT Jobs Software Jobs Freshers Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Local Job Search Photo 1"
51016001732,Software Engineer Jobs In Bangalore At Odessa Technologies,Local Job Search,Software Development,0 - 3 yrs,4,"Job Title: Software Engineer Jobs In Bangalore At Odessa Technologies Company: Local Job Search Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 3 yrs Education: UG: B.Tech/B.E. - Computers, Electronics/Telecommunication PG:Post Graduation Not Required Doctorate:Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru, Hyderabad Job Description: Job Description Candidate must have written and create test cases. Finding defects in modules. Developing test plan. Creating scenarios that cover both positive and negative scenarios, ensuring functional coverage in scenarios Salary:INR 2,00,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Testing Test Cases Test Planning Functional Software Engineering Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers, Electronics/Telecommunication PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Local Job Search Photo 1"
310316600179,Software Programmer / Software Developer,Axis Jobs,Software Development,0 - 3 yrs,5,"Job Title: Software Programmer / Software Developer Company: Axis Jobs Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 3 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru/Bangalore , Mumbai , Chennai , Pune , Hyderabad / Secunderabad , Delhi/NCR(National Capital Region) , Ahmedabad , Kolkata , Surat Job Description: Job Description The software developer independently creates designs, develops, codes, tests, debugs, provides beta support and implements software routines.Involved individually or as a member of a team on software development projects. Salary:INR 2,75,000 - 4,75,000 P.A. Best In The Industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization,"
310316600179,Software Programmer / Software Developer,Axis Jobs,Software Development,0 - 3 yrs,6,"Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Good Verbal communication or Written communication .Team worker or Self-motivation Power.Energetic & self-motivated & team player.Good Computer Basic knowledge. Company Profile: Axis Jobs Axis Jobs Private Limited is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations Service Provider in India. Photo 1"
310316503386,software engineer principal,INFOR,Software Development,10 - 12 yrs,7,"Job Title: software engineer principal Company: INFOR Category: Software Development Skills: IT Software - Application Programming Experience: 10 - 12 yrs Education: UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Hyderabad / Secunderabad Job Description: Job Description Location: Hyderabad Experience: 10 - 12 years Education: ME/ MTech/ BTech/ B.E/ MCA Required Skills: 10- 12 years of handling projects end end ( from requirements through design to delivery) of reasonably medium to complex projects Extensive J2EE development experience (J2EE, JEE, EJB, Spring) ; Experienced with Java Web Application development and Web Services development (Servlets, REST, ) ; Considers and treats Unit testing as intrinsically part of his work; Extensive experience with Web UI Frameworks like Google Web Toolkit (GWT) is a big plus; Knowledge of enterprise- grade persistency (e.g. Hibernate, HQL, JPA) ; Basic database development knowledge (SQL, JDBC) ; Experience with"
310316503386,software engineer principal,INFOR,Software Development,10 - 12 yrs,8,"Development tooling (e.g. Maven, Nexus, Jenkins, JIRA, subversion) ; Experience with Object- Oriented software design; Knowledge of Cloud application development and/ or general Cloud Experience is a plus Analytical, accurate and result driven; Excellent leadership and team building skills Excellent coaching skills and will to help and coach less experienced team members Excellent communication skills and fluent English written and spoken Proactive problem solver; Experience with and enjoys working within an international agile development environment Must have knowledge on ERP domain and extended applications Job Responsibilities: Design, architect, prototypes and develop mobile applications Mentor a team of 5 to 7 mobile/ web developers Work with business analysts in analyzing the requirements and coordinate with other developers in developing the mobile/ web applications Coordinate with quality assurance team during testing cycles and manage the tickets by working with other mobile/ web developers. Mentor and guide the team on development technologies, practices,"
310316503386,software engineer principal,INFOR,Software Development,10 - 12 yrs,9,"and approaches, while demonstrating the state of the possible to the development teams Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: INFOR INFOR Photo 1"
